created setup with 216 bodies
plot initial setup plus every 0.00999999977648258 time units
plot next snapshot,	 time step=810,	 t=0.810000038472936,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=820,	 t=0.82000003894791,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=830,	 t=0.830000039422885,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=840,	 t=0.840000039897859,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=850,	 t=0.850000040372834,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=860,	 t=0.860000040847808,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=870,	 t=0.870000041322783,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=880,	 t=0.880000041797757,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=890,	 t=0.890000042272732,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=900,	 t=0.900000042747706,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=910,	 t=0.910000043222681,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=920,	 t=0.920000043697655,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=930,	 t=0.93000004417263,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=940,	 t=0.940000044647604,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=950,	 t=0.950000045122579,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=960,	 t=0.960000045597553,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=970,	 t=0.970000046072528,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=980,	 t=0.980000046547502,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=990,	 t=0.990000047022477,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1000,	 t=1.00000004749745,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1010,	 t=1.01000004797243,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1020,	 t=1.0200000484474,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1030,	 t=1.03000004892237,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1040,	 t=1.04000004939735,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1050,	 t=1.05000004987232,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1060,	 t=1.0600000503473,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1070,	 t=1.07000005082227,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1080,	 t=1.08000005129725,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1090,	 t=1.09000005177222,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1100,	 t=1.1000000522472,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1110,	 t=1.11000005272217,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1120,	 t=1.12000005319715,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1130,	 t=1.13000005367212,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1140,	 t=1.14000005414709,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1150,	 t=1.15000005462207,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1160,	 t=1.16000005509704,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1170,	 t=1.17000005557202,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1180,	 t=1.18000005604699,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
